                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9055,                 4.8204,                 1.3026,                0.98589,                0.90909,                0.98115,                0.83615,                0.56703,                 4.3719,                0.97709,                0.00012,                0.00012,                0.00012
                      2,                0.71494,                  2.007,                 1.1077,                0.97506,                      1,                  0.995,                0.87129,                0.58743,                 4.6511,                0.99005,              0.0002497,              0.0002497,              0.0002497
                      3,                0.65602,                 1.1181,                 1.0606,                0.99238,                      1,                  0.995,                0.90925,                0.50565,                 2.5259,                0.93409,             0.00036832,             0.00036832,             0.00036832
                      4,                0.61278,                0.86008,                 1.0622,                0.98323,                      1,                  0.995,                0.88385,                0.58101,                 1.4675,                 1.0156,             0.00047585,             0.00047585,             0.00047585
                      5,                0.60246,                0.66872,                0.99525,                0.98875,                      1,                  0.995,                0.85575,                  0.558,                 1.5095,                 1.0539,             0.00057229,             0.00057229,             0.00057229
                      6,                0.58674,                0.64295,                 1.0274,                0.47524,                      1,                0.47587,                0.41623,                0.59268,                  4.163,                 1.0456,             0.00065764,             0.00065764,             0.00065764
                      7,                0.60579,                0.58791,                 1.0042,                0.96025,                      1,                  0.995,                0.88627,                 0.5983,                 1.1794,                 1.0627,              0.0007319,              0.0007319,              0.0007319
                      8,                0.64108,                 0.6088,                 1.0635,                0.97741,                      1,                  0.995,                0.90361,                0.51538,                0.88245,                0.97066,             0.00079508,             0.00079508,             0.00079508
                      9,                0.63679,                0.54379,                 1.0456,                  0.905,                      1,                   0.98,                0.64931,                0.79595,                  1.566,                 1.3721,             0.00084717,             0.00084717,             0.00084717
                     10,                0.58203,                0.52532,                 1.0031,                0.91577,                0.98918,                 0.9875,                0.84165,                 0.5994,                 1.1079,                 1.0289,             0.00088817,             0.00088817,             0.00088817
                     11,                0.63511,                0.55657,                 1.0459,                      1,                      1,                  0.995,                0.85348,                0.69985,                 2.5899,                 1.2607,             0.00091808,             0.00091808,             0.00091808
                     12,                0.66672,                  0.522,                 1.0901,                0.90917,                      1,                 0.9875,                0.80001,                0.71017,                  1.258,                 1.2591,              0.0009369,              0.0009369,              0.0009369
                     13,                0.62492,                0.47632,                 1.0245,                0.98471,                      1,                  0.995,                0.83367,                0.60948,                 1.4172,                 1.1572,             0.00094464,             0.00094464,             0.00094464
                     14,                0.57262,                0.48629,                 1.0001,                0.98154,                      1,                  0.995,                0.88087,                0.59289,                  1.306,                 1.1253,             0.00094129,             0.00094129,             0.00094129
                     15,                0.64037,                 0.4953,                 1.0551,                0.97016,                0.90909,                0.94804,                0.84808,                0.53902,                 1.1167,                 1.0345,              0.0008912,              0.0008912,              0.0008912
                     16,                0.50328,                0.51412,                0.98403,                0.91071,                      1,                 0.9875,                0.85935,                0.65414,                0.57921,                 1.1078,              0.0008912,              0.0008912,              0.0008912
                     17,                0.49451,                0.44025,                0.95473,                0.97768,                      1,                  0.995,                0.82194,                0.61269,                0.58278,                 1.0513,               0.000812,               0.000812,               0.000812
                     18,                0.48067,                 0.4246,                0.96678,                0.98501,                      1,                  0.995,                 0.8305,                0.64991,                 0.6601,                 1.0879,              0.0007328,              0.0007328,              0.0007328
                     19,                0.47707,                0.40086,                0.97297,                0.98065,                0.81818,                 0.9395,                0.79141,                 0.6077,                 0.7444,                 1.0562,              0.0006536,              0.0006536,              0.0006536
                     20,                0.44053,                0.39524,                0.94099,                      1,                0.90478,                   0.96,                0.83875,                0.52956,                0.65442,                0.95776,              0.0005744,              0.0005744,              0.0005744
                     21,                0.40396,                0.33304,                0.86205,                0.99343,                      1,                  0.995,                0.89359,                0.49413,                0.55101,                0.92278,              0.0004952,              0.0004952,              0.0004952
                     22,                0.39518,                0.33819,                0.88548,                0.99198,                      1,                  0.995,                0.89994,                0.55171,                0.53866,                0.94654,               0.000416,               0.000416,               0.000416
                     23,                0.41063,                0.34249,                0.91514,                0.99251,                      1,                  0.995,                0.87557,                0.54552,                0.50721,                0.93575,              0.0003368,              0.0003368,              0.0003368
                     24,                0.39617,                0.33005,                0.86888,                0.99353,                      1,                  0.995,                0.90809,                0.43798,                0.31008,                0.88363,              0.0002576,              0.0002576,              0.0002576
                     25,                0.36071,                 0.2944,                0.87995,                0.99467,                      1,                  0.995,                0.89215,                0.42791,                0.27587,                0.88075,              0.0001784,              0.0001784,              0.0001784
